page,Identificativo_UI,tipologia_UI,descrizione_UI,Id_Cespite,descrizione_Cespite,Comune,Via,Civico,Quartiere,sestiere,sezione,Foglio,Mapp,Sub,Uso_in_atto,Titolarita
1,38,Fabbricato,M.1120-38-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,2,RESIDENZA;,Proprietà
1,39,Fabbricato,M.1130-39-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,3,RESIDENZA;,Proprietà
1,40,Fabbricato,M.1120-40-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,4,RESIDENZA;,Proprietà
1,41,Fabbricato,M.1130-41-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,5,RESIDENZA;,Proprietà
1,42,Fabbricato,M.1140-42-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,6,RESIDENZA;,Proprietà
1,43,Fabbricato,M.1110-43-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,7,RESIDENZA;,Proprietà
1,44,Fabbricato,M.1160-44-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,8,RESIDENZA;,Proprietà
1,45,Fabbricato,M.1170-45-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,9,RESIDENZA;,Proprietà
1,46,Fabbricato,M.1180-46-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020B,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,10,RESIDENZA;,Proprietà
1,47,Fabbricato,M.1190-47-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,11,RESIDENZA;,Proprietà
1,48,Fabbricato,M.1200-48-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,12,RESIDENZA;,Proprietà
1,49,Fabbricato,M.1210-49-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,13,RESIDENZA;,Proprietà
1,50,Fabbricato,M.1220-50-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,14,RESIDENZA;,Proprietà
1,51,Fabbricato,M.1230-51-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,15,RESIDENZA;,Proprietà
1,52,Fabbricato,M.1240-52-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,16,RESIDENZA;,Proprietà
1,53,Fabbricato,M.1250-53-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,17,RESIDENZA;,Proprietà
1,54,Fabbricato,M.1260-54-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,18,RESIDENZA;,Proprietà
1,55,Fabbricato,M.1270-55-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,19,RESIDENZA;,Proprietà
1,56,Fabbricato,M.1280-56-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,20,RESIDENZA;,Proprietà
1,57,Fabbricato,M.1290-57-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,22,RESIDENZA;,Proprietà
1,58,Fabbricato,M.1300-58-ABITAZIONE ERP,11,Fabbricato residenziale - Calle dei Noci,Venezia,CALLE DEI NOCI,1020C,SAN MARCO-CASTELLO-SANT'ELENA-CANNAREGIO,CASTELLO,01 - Venezia,16,4883,23,RESIDENZA;,Proprietà
